customer_id,credit_card_default
CST_115179,0
CST_121920,0
CST_109330,0
CST_128288,1
CST_151355,1
CST_123268,0
CST_127502,0
CST_151722,1
CST_133768,1
CST_111670,0
CST_153773,0
CST_142986,1
CST_147654,1
CST_165186,0
CST_114892,0
CST_106781,0
CST_119686,0
CST_107195,0
CST_162929,0
CST_119824,0
CST_144202,1
CST_151332,0
CST_105226,1
CST_109578,0
CST_119972,0
CST_138824,0
CST_144927,0
CST_143579,0
CST_115589,0
CST_149142,0
CST_159518,0
CST_132881,0
CST_119708,0
CST_106117,1
CST_143621,0
CST_124692,1
CST_103397,0
CST_157798,0
CST_160156,0
CST_137097,0
CST_156606,0
CST_116941,0
CST_165874,0
CST_141209,0
CST_116401,0
CST_105775,0
CST_141275,0
CST_159503,0
CST_165701,0
CST_130624,0
CST_159841,0
CST_123543,0
CST_130816,1
CST_162883,1
CST_157640,0
CST_127366,0
CST_120451,0
CST_152237,1
CST_158979,0
CST_155270,0
CST_124541,1
CST_109758,0
CST_152434,1
CST_102676,0
CST_107947,0
CST_108356,0
CST_138895,0
CST_126404,1
CST_142693,1
CST_127018,0
CST_117646,0
CST_129351,1
CST_164805,0
CST_121620,0
CST_139514,0
CST_136990,0
CST_122634,0
CST_126809,0
CST_137891,0
CST_117541,0
CST_138017,0
CST_129960,0
CST_122890,0
CST_117777,0
CST_120670,0
CST_129421,0
CST_108840,0
CST_143922,1
CST_145999,0
CST_131351,0
CST_101410,1
CST_129479,1
CST_119917,0
CST_163066,0
CST_123421,0
CST_100562,1
CST_156615,0
CST_113590,0
CST_129315,0
CST_111640,0
CST_139237,0
CST_110331,0
CST_106820,0
CST_134337,0
CST_103116,1
CST_129445,0
CST_142320,0
CST_138215,0
CST_101729,1
CST_124665,0
CST_164335,0
CST_153814,0
CST_135400,0
CST_127283,0
CST_143524,0
CST_136757,0
CST_113138,0
CST_161453,0
CST_107490,0
CST_110661,0
CST_152059,0
CST_121454,1
CST_116087,0
CST_119257,0
CST_151496,0
CST_164674,0
CST_120685,0
CST_154700,0
